Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity
1771296021823,18.97435897435896,,,,,,,,,,,
1771296021846,,0,,,,,,,,,,
1771296021864,,,,0,,,,,,,,
1771296021891,,,0.00015799210814293474,,,,,,,,,
1771296021911,,,,,,0,,,,,,
1771296021931,,,,,0,,,,,,,
1771296021953,,,,,,,0,,,,,
1771296021983,,,,,,,,0,,,,
1771296022002,,,,,,,,,,0,,
1771296022023,,,,,,,,,0.0009587383246980608,,,
1771296022045,,,,,,,,,,,,7.6530609130859375
1771296022066,,,,,,,,,,,0,
1771296022095,18.82783882783881,,,,,,,,,,,
1771296022116,,0,,,,,,,,,,
1771296022139,,,,0,,,,,,,,
1771296022162,,,0.00015799210814293474,,,,,,,,,
1771296022186,,,,,,0.013833225704729557,,,,,,
1771296022204,,,,,0,,,,,,,
1771296022225,,,,,,,0,,,,,
1771296022244,,,,,,,,0,,,,
1771296022264,,,,,,,,,,0,,
1771296022281,,,,,,,,,0.017120327800512314,,,
1771296022297,,,,,,,,,,,,8.617277145385742
1771296022315,,,,,,,,,,,0,
1771296022334,19.92673992673991,,,,,,,,,,,
1771296022373,,0,,,,,,,,,,
1771296022393,,,,0,,,,,,,,
1771296022415,,,0.00015799210814293474,,,,,,,,,
1771296022446,,,,,,0.008765608072280884,,,,,,
1771296022465,,,,,0,,,,,,,
1771296022484,,,,,,,0,,,,,
1771296022502,,,,,,,,0,,,,
1771296022520,,,,,,,,,,0,,
1771296022537,,,,,,,,,0,,,
1771296022555,,,,,,,,,,,,6.398893356323242
1771296022574,,,,,,,,,,,0,
1771296022592,21.3186813186813,,,,,,,,,,,
1771296022609,,0,,,,,,,,,,
1771296022628,,,,0,,,,,,,,
1771296022646,,,0.00015799210814293474,,,,,,,,,
1771296022663,,,,,,0,,,,,,
1771296022680,,,,,0,,,,,,,
1771296022696,,,,,,,0,,,,,
1771296022715,,,,,,,,0,,,,
1771296022738,,,,,,,,,,0,,
1771296022757,,,,,,,,,-0.017531216144561768,,,
1771296022780,,,,,,,,,,,,8.2735013961792
1771296022803,,,,,,,,,,,0,
1771296022828,17.728937728937716,,,,,,,,,,,
1771296022853,,0,,,,,,,,,,
1771296022872,,,,0,,,,,,,,
1771296022891,,,0.00015799210814293474,,,,,,,,,
1771296022913,,,,,,-0.007669906597584486,,,,,,
1771296022939,,,,,0,,,,,,,
1771296022966,,,,,,,0.1465201465201464,,,,,
1771296022996,,,,,,,,0,,,,
1771296023025,,,,,,,,,,0,,
1771296023051,,,,,,,,,-0.013422336429357529,,,
1771296023076,,,,,,,,,,,,9.162114143371582
1771296023099,,,,,,,,,,,0,
1771296023125,20.952380952380935,,,,,,,,,,,
1771296023156,,0,,,,,,,,,,
1771296023191,,,,0,,,,,,,,
1771296023215,,,0.00015799210814293474,,,,,,,,,
1771296023235,,,,,,0,,,,,,
1771296023252,,,,,0,,,,,,,
1771296023271,,,,,,,0.1465201465201464,,,,,
1771296023294,,,,,,,,0,,,,
1771296023321,,,,,,,,,-0.01520285103470087,,,
1771296023348,,,,,,,,,,0,,
1771296023370,,,,,,,,,,,0,
1771296023389,,,,,,,,,,,,7.268195152282715
1771296023409,21.282051282051263,,,,,,,,,,,
1771296023431,,0,,,,,,,,,,
1771296023468,,,,0,,,,,,,,
1771296023503,,,0.00015799210814293474,,,,,,,,,
1771296023525,,,,,,0.008491681888699532,,,,,,
1771296023545,,,,,0,,,,,,,
1771296023564,,,,,,,,0,,,,
1771296023590,,,,,,,0,,,,,
1771296023617,,,,,,,,,0.0009587383246980608,,,
1771296023639,,,,,,,,,,0,,
1771296023658,,,,,,,,,,,0,
1771296023677,,,,,,,,,,,,8.216525077819824
1771296023700,19.523809523809508,,,,,,,,,,,
1771296023723,,0,,,,,,,,,,
1771296023754,,,0.00015799210814293474,,,,,,,,,
1771296023780,,,,0,,,,,,,,
1771296023811,,,,,0,,,,,,,
1771296023843,,,,,,0,,,,,,
1771296023866,,,,,,,,0,,,,
1771296023886,,,,,,,0.0366300366300366,,,,,
1771296023904,,,,,,,,,-0.014518038369715214,,,
1771296023920,,,,,,,,,,0,,
1771296023937,,,,,,,,,,,0,
1771296023956,,,,,,,,,,,,6.472442626953125
1771296023975,20.14652014652013,,,,,,,,,,,
1771296023993,,0,,,,,,,,,,
1771296024013,,,0.00015799210814293474,,,,,,,,,
1771296024032,,,,0,,,,,,,,
1771296024051,,,,,0,,,,,,,
1771296024071,,,,,,0.0017805141396820545,,,,,,
1771296024089,,,,,,,0,,,,,
1771296024107,,,,,,,,0,,,,
1771296024125,,,,,,,,,-0.00945042073726654,,,
1771296024143,,,,,,,,,,0,,
1771296024163,,,,,,,,,,,0,
1771296024181,,,,,,,,,,,,7.4189910888671875
1771296024199,19.450549450549435,,,,,,,,,,,
1771296024217,,0,,,,,,,,,,
1771296024236,,,0.00015799210814293474,,,,,,,,,
1771296024255,,,,0,,,,,,,,
1771296024272,,,,,0,,,,,,,
1771296024290,,,,,,0,,,,,,
1771296024309,,,,,,,0,,,,,
1771296024328,,,,,,,,0,,,,
1771296024347,,,,,,,,,-0.007395981810986996,,,
1771296024366,,,,,,,,,,0,,
1771296024384,,,,,,,,,,,0,
1771296024407,,,,,,,,,,,,8.297195434570312
1771296024430,18.82783882783881,,,,,,,,,,,
1771296024460,,0,,,,,,,,,,
1771296024489,,,,0,,,,,,,,
1771296024514,,,0.00015799210814293474,,,,,,,,,
1771296024541,,,,,,-0.00301317754201591,,,,,,
1771296024587,,,,,0,,,,,,,
1771296024616,,,,,,,,0,,,,
1771296024643,,,,,,,0.0732600732600732,,,,,
1771296024675,,,,,,,,,0,,,
1771296024701,,,,,,,,,,0,,
1771296024725,,,,,,,,,,,0,
1771296024749,,,,,,,,,,,,9.111164093017578
1771296024774,,0,,,,,,,,,,
1771296024797,20.10989010989009,,,,,,,,,,,
1771296024822,,,0.00015799210814293474,,,,,,,,,
1771296024849,,,,0,,,,,,,,
1771296024882,,,,,0,,,,,,,
1771296024906,,,,,,0,,,,,,
1771296024926,,,,,,,,0,,,,
1771296024945,,,,,,,0.0366300366300366,,,,,
1771296024964,,,,,,,,,-0.008765608072280884,,,
1771296024984,,,,,,,,,,0,,
1771296025011,,,,,,,,,,,0,
1771296025033,,,,,,,,,,,,8.330340385437012
1771296025053,,0,,,,,,,,,,
1771296025080,19.157509157509143,,,,,,,,,,,
1771296025107,,,0.00015799210814293474,,,,,,,,,
1771296025130,,,,0,,,,,,,,
1771296025149,,,,,0,,,,,,,
1771296025169,,,,,,0,,,,,,
1771296025188,,,,,,,,0,,,,
1771296025209,,,,,,,0.0732600732600732,,,,,
1771296025232,,,,,,,,,0,,,
1771296025255,,,,,,,,,,0,,
1771296025276,,,,,,,,,,,0,
1771296025298,,,,,,,,,,,,10.355607032775879
1771296025328,,0,,,,,,,,,,
1771296025356,18.681318681318665,,,,,,,,,,,
1771296025382,,,0.00015799210814293474,,,,,,,,,
