Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning
1771298579263,,,22.161172161172143,,,,,,,,,
1771298579278,,0,,,,,,,,,,
1771298579305,,,,-0.10532426089048386,,,,,,,,
1771298579318,,,,,0,,,,,,,
1771298579332,,,,,,0,,,,,,
1771298579344,,,,,,,-0.07738387584686279,,,,,
1771298579360,,,,,,,,,0,,,
1771298579375,,,,,,,,0,,,,
1771298579392,,,,,,,,,,-102.7516860961914,,
1771298579411,,,,,,,,,,,27.912087912087888,
1771298579426,,,,,,,,,,,,0
1771298579462,-101.12440490722656,,,,,,,,,,,
1771298579480,,0,,,,,,,,,,
1771298579497,,,21.538461538461522,,,,,,,,,
1771298579512,,,,-0.03752775862812996,,,,,,,,
1771298579530,,,,,,0,,,,,,
1771298579567,,,,,0.0732600732600732,,,,,,,
1771298579587,,,,,,,-0.06081140413880348,,,,,
1771298579603,,,,,,,,,0,,,
1771298579623,,,,,,,,0,,,,
1771298579660,,,,,,,,,,-104.1089859008789,,
1771298579679,,,,,,,,,,,,0
1771298579695,,,,,,,,,,,26.630036630036606,
1771298579714,-102.32118225097656,,,,,,,,,,,
1771298579735,,0,,,,,,,,,,
1771298579755,,,24.322344322344303,,,,,,,,,
1771298579771,,,,0.04684121534228325,,,,,,,,
1771298579787,,,,,,0,,,,,,
1771298579806,,,,,0.1098901098901098,,,,,,,
1771298579842,,,,,,,-0.025475047528743744,,,,,
1771298579858,,,,,,,,0,,,,
1771298579875,,,,,,,,,0,,,
1771298579893,,,,,,,,,,-105.0003433227539,,
1771298579913,,,,,,,,,,,,0
1771298579929,,,,,,,,,,,26.410256410256387,
1771298579951,-101.7227783203125,,,,,,,,,,,
1771298579968,,0,,,,,,,,,,
1771298579983,,,20.329670329670314,,,,,,,,,
1771298580025,,,,-0.029994815587997437,,,,,,,,
1771298580041,,,,,,0,,,,,,
1771298580059,,,,,0,,,,,,,
1771298580077,,,,,,,-0.0016435513971373439,,,,,
1771298580094,,,,,,,,,0,,,
1771298580112,,,,,,,,0,,,,
1771298580132,,,,,,,,,,-103.33706665039062,,
1771298580168,,,,,,,,,,,,0
1771298580184,,,,,,,,,,,31.428571428571402,
1771298580220,-102.32118225097656,,,,,,,,,,,
1771298580239,,0,,,,,,,,,,
