Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning
1771298524691,,,,,,,0,,,,,
1771298524714,,,,,,0,,,,,,
1771298524735,,,,,,,,-0.0208183191716671,,,,
1771298524756,,,,,,,,,0,,,
1771298524778,,,,,,,,,,4.212454212454209,,
1771298524796,,,,,,,,,,,-88.55818176269531,
1771298524812,,,,,,,,,,,,0
1771298524839,38.71794871794869,,,,,,,,,,,
1771298524857,,0.176133930683136,,,,,,,,,,
1771298524934,,,0,,,,,,,,,
1771298524950,,,,0,,,,,,,,
1771298524967,,,,,-0.08505378663539886,,,,,,,
1771298524987,,,,,,0,,,,,,
1771298525009,,,,,,,0,,,,,
1771298525028,,,,,,,,,0,,,
1771298525049,,,,,,,,0.2941957116127014,,,,
1771298525067,,,,,,,,,,,-90.35336303710938,
1771298525085,,,,,,,,,,2.857142857142855,,
1771298525124,37.4358974358974,,,,,,,,,,,
1771298525145,,,,,,,,,,,,0
1771298525164,,-0.07916439324617386,,,,,,,,,,
1771298525179,,,0,,,,,,,,,
1771298525204,,,,0,,,,,,,,
1771298525223,,,,,-0.09970878809690475,,,,,,,
1771298525241,,,,,,,0,,,,,
1771298525258,,,,,,0,,,,,,
1771298525310,,,,,,,,-0.08751911669969559,,,,
1771298525338,,,,,,,,,0,,,
1771298525359,,,,,,,,,,2.9670329670329645,,
1771298525380,,,,,,,,,,,-88.55818176269531,
1771298525399,,,,,,,,,,,,0
1771298525419,,,0,,,,,,,,,
1771298525441,36.11721611721609,,,,,,,,,,,
1771298525457,,-0.054785046726465225,,,,,,,,,,
1771298525477,,,,,-0.11176150292158127,,,,,,,
1771298525530,,,,0,,,,,,,,
1771298525550,,,,,,,0,,,,,
1771298525570,,,,,,0,,,,,,
1771298525593,,,,,,,,0.21283990144729614,,,,
1771298525614,,,,,,,,,0,,,
1771298525631,,,,,,,,,,2.344322344322342,,
1771298525651,,,,,,,,,,,-89.15657806396484,
1771298525689,41.09890109890107,,,,,,,,,,,
1771298525706,,,,,,,,,,,,0
1771298525724,,,0,,,,,,,,,
1771298525742,,-0.08121883124113083,,,,,,,,,,
1771298525765,,,,,0.026707712560892105,,,,,,,
1771298525807,,,,0,,,,,,,,
1771298525862,,,,,,,0,,,,,
1771298525882,,,,,,0,,,,,,
1771298525952,,,,,,,,,0,,,
1771298526018,,,,,,,,0.12669043242931366,,,,
1771298526038,,,,,,,,,,,-88.55818176269531,
1771298526076,,,,,,,,,,,,0
1771298526125,,,,,,,,,,3.040293040293038,,
1771298526143,,,0,,,,,,,,,
1771298526173,39.267399267399234,,,,,,,,,,,
1771298526197,,-0.014655000530183315,,,,,,,,,,
1771298526216,,,,,-0.06574206054210663,,,,,,,
1771298526264,,,,0,,,,,,,,
1771298526286,,,,,,,0,,,,,
1771298526307,,,,,,0,,,,,,
1771298526330,,,,,,,,,0,,,
1771298526350,,,,,,,,0.10765261948108673,,,,
1771298526377,,,,,,,,,,,-88.55818176269531,
1771298526403,,,,,,,,,,2.8937728937728915,,
