Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current
1771296346871,,0,,,,,,,,,,
1771296346891,-8.774099349975586,,,,,,,,,,,
1771296346913,,,,-8.975826263427734,,,,,,,,
1771296346931,,,4.908424908424904,,,,,,,,,
1771296346948,,,,,0.2564102564102562,,,,,,,
1771296346970,,,,,,0,,,,,,
1771296346992,,,,,,,8.962834358215332,,,,,
1771296347018,,,,,,,,0,,,,
1771296347037,,,,,,,,,6.117216117216112,,,
1771296347057,,,,,,,,,,9.001319885253906,,
1771296347079,,,,,,,,,,,,5.384615384615381
1771296347104,,,,,,,,,,,0,
1771296347123,,0,,,,,,,,,,
1771296347144,-9.163758277893066,,,,,,,,,,,
1771296347166,,,,-8.975826263427734,,,,,,,,
1771296347187,,,5.457875457875454,,,,,,,,,
1771296347207,,,,,0.549450549450549,,,,,,,
1771296347229,,,,,,0,,,,,,
1771296347255,,,,,,,8.996252059936523,,,,,
1771296347277,,,,,,,,0,,,,
1771296347299,,,,,,,,,5.934065934065929,,,
1771296347324,,,,,,,,,,8.958176612854004,,
1771296347345,,,,,,,,,,,,5.8241758241758195
1771296347369,,,,,,,,,,,0,
1771296347392,,0,,,,,,,,,,
1771296347411,-8.232137680053711,,,,,,,,,,,
1771296347430,,,,-8.37742805480957,,,,,,,,
1771296347448,,,6.080586080586076,,,,,,,,,
1771296347469,,,,,0.2197802197802196,,,,,,,
1771296347491,,,,,,0,,,,,,
1771296347515,,,,,,,8.748624801635742,,,,,
1771296347541,,,,,,,,0,,,,
1771296347561,,,,,,,,,5.7509157509157465,,,
1771296347582,,,,,,,,,,8.416489601135254,,
1771296347607,,,,,,,,,,,,5.054945054945051
1771296347631,,,,,,,,,,,0,
1771296347658,,0,,,,,,,,,,
1771296347681,-8.956123352050781,,,,,,,,,,,
1771296347705,,,,-8.37742805480957,,,,,,,,
1771296347728,,,5.71428571428571,,,,,,,,,
1771296347750,,,,,0.2564102564102562,,,,,,,
1771296347772,,,,,,0,,,,,,
1771296347802,,,,,,,8.928045272827148,,,,,
1771296347830,,,,,,,,0,,,,
1771296347853,,,,,,,,,6.043956043956039,,,
1771296347895,,,,,,,,,,8.730408668518066,,
1771296347922,,,,,,,,,,,0,
1771296347948,,,,,,,,,,,,5.347985347985343
1771296347976,,0,,,,,,,,,,
1771296347997,-9.023234367370605,,,,,,,,,,,
1771296348029,,,,-8.975826263427734,,,,,,,,
1771296348053,,,7.582417582417576,,,,,,,,,
1771296348077,,,,,,0,,,,,,
1771296348099,,,,,0.549450549450549,,,,,,,
1771296348126,,,,,,,8.350885391235352,,,,,
1771296348148,,,,,,,,0,,,,
1771296348170,,,,,,,,,5.27472527472527,,,
1771296348194,,,,,,,,,,9.057886123657227,,
1771296348214,,,,,,,,,,,,5.9706959706959655
1771296348238,,,,,,,,,,,0,
1771296348263,-8.511131286621094,,,,,,,,,,,
1771296348286,,0,,,,,,,,,,
1771296348315,,,3.0769230769230744,,,,,,,,,
1771296348337,,,,-8.975826263427734,,,,,,,,
1771296348361,,,,,,0,,,,,,
1771296348387,,,,,0.2197802197802196,,,,,,,
1771296348426,,,,,,,9.522189140319824,,,,,
1771296348447,,,,,,,,0,,,,
1771296348473,,,,,,,,,4.725274725274722,,,
1771296348491,,,,,,,,,,8.659735679626465,,
1771296348510,,,,,,,,,,,0,
1771296348531,,,,,,,,,,,,3.6263736263736233
1771296348556,-8.758485794067383,,,,,,,,,,,
1771296348576,,0,,,,,,,,,,
1771296348598,,,5.457875457875454,,,,,,,,,
1771296348616,,,,-8.975826263427734,,,,,,,,
1771296348638,,,,,,0,,,,,,
1771296348661,,,,,0.2564102564102562,,,,,,,
1771296348685,,,,,,,9.178139686584473,,,,,
1771296348707,,,,,,,,0,,,,
1771296348727,,,,,,,,,6.300366300366295,,,
1771296348746,,,,,,,,,,8.461139678955078,,
1771296348770,,,,,,,,,,,0,
1771296348793,,,,,,,,,,,,5.49450549450549
1771296348814,-8.123663902282715,,,,,,,,,,,
1771296348832,,0,,,,,,,,,,
1771296348850,,,7.765567765567759,,,,,,,,,
1771296348872,,,,-8.37742805480957,,,,,,,,
1771296348894,,,,,,0,,,,,,
1771296348916,,,,,0.549450549450549,,,,,,,
1771296348936,,,,,,,8.505516052246094,,,,,
1771296348980,,,,,,,,0,,,,
1771296349000,,,,,,,,,5.860805860805856,,,
1771296349021,,,,,,,,,,8.630151748657227,,
1771296349038,,,,,,,,,,,0,
1771296349060,,,,,,,,,,,,5.27472527472527
1771296349084,-8.919553756713867,,,,,,,,,,,
1771296349101,,0,,,,,,,,,,
1771296349121,,,5.787545787545783,,,,,,,,,
1771296349142,,,,-8.975826263427734,,,,,,,,
1771296349166,,,,,,0,,,,,,
1771296349188,,,,,0.2564102564102562,,,,,,,
1771296349206,,,,,,,8.612210273742676,,,,,
1771296349223,,,,,,,,0,,,,
1771296349242,,,,,,,,,4.761904761904758,,,
1771296349260,,,,,,,,,,9.112533569335938,,
1771296349281,,,,,,,,,,,0,
1771296349302,,,,,,,,,,,,5.054945054945051
1771296349322,-8.947083473205566,,,,,,,,,,,
1771296349349,,,6.227106227106222,,,,,,,,,
1771296349372,,0,,,,,,,,,,
1771296349400,,,,-8.37742805480957,,,,,,,,
1771296349427,,,,,,0,,,,,,
1771296349448,,,,,0.549450549450549,,,,,,,
1771296349473,,,,,,,8.617277145385742,,,,,
1771296349497,,,,,,,,0,,,,
1771296349516,,,,,,,,,5.71428571428571,,,
1771296349551,,,,,,,,,,8.613716125488281,,
1771296349575,,,,,,,,,,,0,
1771296349598,,,,,,,,,,,,4.871794871794868
1771296349624,-8.599198341369629,,,,,,,,,,,
1771296349641,,0,,,,,,,,,,
1771296349667,,,5.164835164835161,,,,,,,,,
1771296349692,,,,-8.975826263427734,,,,,,,,
1771296349714,,,,,,0,,,,,,
1771296349737,,,,,0.2564102564102562,,,,,,,
1771296349767,,,,,,,8.924346923828125,,,,,
1771296349788,,,,,,,,0,,,,
1771296349814,,,,,,,,,6.227106227106222,,,
1771296349834,,,,,,,,,,8.973791122436523,,
1771296349851,,,,,,,,,,,0,
1771296349875,,,,,,,,,,,,5.8974358974358925
1771296349897,-8.684662818908691,,,,,,,,,,,
1771296349924,,0,,,,,,,,,,
1771296349948,,,6.263736263736258,,,,,,,,,
1771296349970,,,,-8.975826263427734,,,,,,,,
