Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771296073000,-0.0019174766493961215,,,,,,,,,,,
1771296073015,,,0,,,,,,,,,
1771296073030,,0,,,,,,,,,,
1771296073045,,,,0.002191402018070221,,,,,,,,
1771296073062,,,,,0,,,,,,,
1771296073082,,,,,,0,,,,,,
1771296073094,,,,,,,311.2102966308594,,,,,
1771296073113,,,,,,,,,18.498168498168482,,,
1771296073146,,,,,,,,0,,,,
1771296073165,,,,,,,,,,,,0
1771296073179,,,,,,,,,,0.00015799210814293474,,
1771296073194,0.0001369626261293888,,,,,,,,,,,
1771296073210,,,,,,,,,,,0,
1771296073227,,,0,,,,,,,,,
1771296073247,,0,,,,,,,,,,
1771296073262,,,,-0.001369626261293888,,,,,,,,
1771296073279,,,,,0,,,,,,,
1771296073294,,,,,,0,,,,,,
1771296073306,,,,,,,310.7535400390625,,,,,
1771296073322,,,,,,,,,37.912087912087884,,,
1771296073336,,,,,,,,0,,,,
1771296073354,,,,,,,,,,0.00015799210814293474,,
1771296073372,,,,,,,,,,,,0
1771296073391,,,,,,,,,,,0,
1771296073407,-0.0001369626261293888,,,,,,,,,,,
1771296073424,,,0,,,,,,,,,
1771296073441,,0,,,,,,,,,,
1771296073456,,,,-0.002739252522587776,,,,,,,,
1771296073471,,,,,0,,,,,,,
1771296073492,,,,,,0,,,,,,
1771296073514,,,,,,,310.80584716796875,,,,,
1771296073533,,,,,,,,,38.424908424908395,,,
1771296073550,,,,,,,,0,,,,
1771296073565,,,,,,,,,,0.00015799210814293474,,
1771296073582,,,,,,,,,,,,0
1771296073598,,,,,,,,,,,0,
1771296073617,0.0008217756985686719,,,,,,,,,,,
1771296073634,,,0,,,,,,,,,
1771296073652,,0,,,,,,,,,,
1771296073673,,,,0.000684813130646944,,,,,,,,
1771296073687,,,,,0,,,,,,,
1771296073704,,,,,,0,,,,,,
1771296073724,,,,,,,310.0010681152344,,,,,
1771296073741,,,,,,,,,38.16849816849814,,,
1771296073758,,,,,,,,0,,,,
1771296073775,,,,,,,,,,0.00015799210814293474,,
1771296073790,,,,,,,,,,,,0
