Timestamp,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771295572202,,,,13.186813186813175,,,,,,,,
1771295572226,,,0,,,,,,,,,
1771295572244,,,,,5.158833980560303,,,,,,,
1771295572267,,,,,,0,,,,,,
1771295572288,,,,,,,5.787545787545783,,,,,
1771295572307,,,,,,,,-0.008491681888699532,,,,
1771295572326,,,,,,,,,0,,,
1771295572350,,,,,,,,,,0,,
1771295572371,,,,,,,,,,,-9.986858913180185e-7,
1771295572392,,,,,,,,,,,,0
1771295572429,0,,,,,,,,,,,
1771295572450,,5.103227138519287,,,,,,,,,,
1771295572474,,,0,,,,,,,,,
1771295572499,,,,12.893772893772883,,,,,,,,
1771295572518,,,,,4.697407245635986,,,,,,,
1771295572543,,,,,,0,,,,,,
1771295572568,,,,,,,5.8241758241758195,,,,,
1771295572589,,,,,,,,-0.06204406917095184,,,,
1771295572613,,,,,,,,,0,,,
1771295572640,,,,,,,,,,0,,
1771295572658,,,,,,,,,,,-9.986858913180185e-7,
1771295572681,,,,,,,,,,,,0
1771295572707,0,,,,,,,,,,,
1771295572731,,4.955992698669434,,,,,,,,,,
1771295572757,,,0,,,,,,,,,
1771295572779,,,,13.992673992673982,,,,,,,,
1771295572803,,,,,5.278950214385986,,,,,,,
1771295572825,,,,,,0,,,,,,
1771295572846,,,,,,,6.227106227106222,,,,,
1771295572872,,,,,,,,-0.05944177508354187,,,,
1771295572895,,,,,,,,,0,,,
1771295572919,,,,,,,,,,0,,
1771295572949,,,,,,,,,,,-9.986858913180185e-7,
1771295572974,,,,,,,,,,,,0
1771295572996,0,,,,,,,,,,,
1771295573053,,3.9746553897857666,,,,,,,,,,
1771295573081,,,0,,,,,,,,,
1771295573102,,,,11.978021978021967,,,,,,,,
1771295573125,,,,,5.284018039703369,,,,,,,
1771295573149,,,,,,0,,,,,,
1771295573171,,,,,,,6.520146520146515,,,,,
1771295573201,,,,,,,,0.006300280801951885,,,,
1771295573227,,,,,,,,,0,,,
1771295573254,,,,,,,,,,0,,
1771295573281,,,,,,,,,,,0.5983979105949402,
1771295573302,,,,,,,,,,,,0
1771295573351,0,,,,,,,,,,,
1771295573374,,4.927640914916992,,,,,,,,,,
1771295573394,,,0,,,,,,,,,
1771295573424,,,,11.611721611721602,,,,,,,,
1771295573442,,,,,5.294837951660156,,,,,,,
1771295573460,,,,,,0,,,,,,
1771295573482,,,,,,,5.164835164835161,,,,,
1771295573502,,,,,,,,-0.011230934411287308,,,,
1771295573521,,,,,,,,,0,,,
1771295573542,,,,,,,,,,0,,
1771295573561,,,,,,,,,,,-9.986858913180185e-7,
1771295573580,,,,,,,,,,,,0
1771295573597,0,,,,,,,,,,,
1771295573614,,5.934727668762207,,,,,,,,,,
1771295573631,,,,11.391941391941383,,,,,,,,
1771295573648,,,0,,,,,,,,,
1771295573665,,,,,6.409439563751221,,,,,,,
1771295573690,,,,,,0,,,,,,
1771295573736,,,,,,,5.27472527472527,,,,,
1771295573776,,,,,,,,0.00999827217310667,,,,
1771295573817,,,,,,,,,0,,,
1771295573841,,,,,,,,,,0,,
1771295573863,,,,,,,,,,,,0
1771295573891,,,,,,,,,,,-9.986858913180185e-7,
1771295573921,,5.800641059875488,,,,,,,,,,
1771295573944,0,,,,,,,,,,,
1771295573962,,,0,,,,,,,,,
1771295573998,,,,12.49084249084248,,,,,,,,
1771295574017,,,,,5.653406143188477,,,,,,,
1771295574053,,,,,,0,,,,,,
1771295574081,,,,,,,6.886446886446881,,,,,
1771295574101,,,,,,,,-0.0008217756985686719,,,,
1771295574139,,,,,,,,,0,,,
1771295574162,,,,,,,,,,0,,
1771295574193,,,,,,,,,,,-9.986858913180185e-7,
1771295574218,,,,,,,,,,,,0
1771295574243,0,,,,,,,,,,,
1771295574263,,4.833137035369873,,,,,,,,,,
1771295574280,,,0,,,,,,,,,
1771295574302,,,,13.260073260073248,,,,,,,,
1771295574323,,,,,4.914218902587891,,,,,,,
1771295574348,,,,,,0,,,,,,
1771295574370,,,,,,,7.142857142857137,,,,,
1771295574396,,,,,,,,-0.02821429818868637,,,,
1771295574418,,,,,,,,,0,,,
1771295574440,,,,,,,,,,0,,
1771295574462,,,,,,,,,,,-0.5983998775482178,
1771295574484,,,,,,,,,,,,0
1771295574502,0,,,,,,,,,,,
1771295574529,,3.6571760177612305,,,,,,,,,,
1771295574551,,,0,,,,,,,,,
1771295574571,,,,11.501831501831493,,,,,,,,
1771295574590,,,,,4.971195220947266,,,,,,,
1771295574607,,,,,,0,,,,,,
1771295574627,,,,,,,4.505494505494502,,,,,
1771295574645,,,,,,,,0.025885935872793198,,,,
1771295574666,,,,,,,,,,0,,
1771295574685,,,,,,,,,0,,,
1771295574705,,,,,,,,,,,-9.986858913180185e-7,
1771295574723,,,,,,,,,,,,0
1771295574744,0,,,,,,,,,,,
1771295574766,,6.154141426086426,,,,,,,,,,
1771295574785,,,,11.721611721611712,,,,,,,,
1771295574806,,,0,,,,,,,,,
1771295574826,,,,,,0,,,,,,
1771295574845,,,,,5.958832740783691,,,,,,,
1771295574867,,,,,,,,0.002191402018070221,,,,
1771295574887,,,,,,,5.201465201465197,,,,,
1771295574908,,,,,,,,,,0,,
1771295574934,,,,,,,,,0,,,
1771295574951,,,,,,,,,,,-9.986858913180185e-7,
1771295574970,,,,,,,,,,,,0
1771295574988,0,,,,,,,,,,,
1771295575010,,5.3726325035095215,,,,,,,,,,
1771295575029,,,,13.626373626373615,,,,,,,,
1771295575051,,,0,,,,,,,,,
1771295575076,,,,,5.410434722900391,,,,,,,
1771295575097,,,,,,0,,,,,,
1771295575116,,,,,,,5.641025641025636,,,,,
1771295575135,,,,,,,,0.010820046998560429,,,,
1771295575157,,,,,,,,,0,,,
1771295575176,,,,,,,,,,0,,
1771295575197,,,,,,,,,,,-9.986858913180185e-7,
1771295575241,,,,,,,,,,,,0
1771295575275,0,,,,,,,,,,,
1771295575295,,4.904768466949463,,,,,,,,,,
1771295575320,,,0,,,,,,,,,
1771295575340,,,,12.637362637362626,,,,,,,,
1771295575358,,,,,4.781365394592285,,,,,,,
1771295575377,,,,,,0,,,,,,
1771295575401,,,,,,,5.128205128205124,,,,,
1771295575425,,,,,,,,0.01972261816263199,,,,
1771295575442,,,,,,,,,0,,,
1771295575467,,,,,,,,,,0,,
1771295575490,,,,,,,,,,,-9.986858913180185e-7,
1771295575509,,,,,,,,,,,,0
1771295575527,0,,,,,,,,,,,
1771295575548,,5.574652671813965,,,,,,,,,,
