Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current
1771296629805,,,20.952380952380935,,,,,,,,,
1771296629822,,,,0,,,,,,,,
1771296629837,,,,,106.18315124511719,,,,,,,
1771296629853,,,,,,,0,,,,,
1771296629868,,,,,,17.509157509157493,,,,,,
1771296629888,,,,,,,,-103.42417907714844,,,,
1771296629908,,,,,,,,,,27.289377289377267,,
1771296629928,,,,,,,,,0,,,
1771296629946,,,,,,,,,,,0.0015568514354526997,
1771296629961,0,,,,,,,,,,,
1771296629976,,,,,,,,,,,,0
1771296629990,,105.15400695800781,,,,,,,,,,
1771296630003,,,18.644688644688628,,,,,,,,,
1771296630016,,,,0,,,,,,,,
1771296630033,,,,,105.91018676757812,,,,,,,
1771296630046,,,,,,,0,,,,,
1771296630062,,,,,,13.36996336996336,,,,,,
1771296630079,,,,,,,,-104.02461242675781,,,,
1771296630095,,,,,,,,,,24.725274725274705,,
1771296630110,,,,,,,,,0,,,
1771296630132,,,,,,,,,,,0.0015568514354526997,
1771296630150,,,,,,,,,,,,0
1771296630167,0,,,,,,,,,,,
1771296630202,,104.8929672241211,,,,,,,,,,
1771296630218,,,,0,,,,,,,,
1771296630240,,,16.996336996336982,,,,,,,,,
1771296630260,,,,,105.89772033691406,,,,,,,
1771296630280,,,,,,,0,,,,,
1771296630300,,,,,,16.59340659340658,,,,,,
1771296630320,,,,,,,,-103.67413330078125,,,,
1771296630335,,,,,,,,,0,,,
1771296630358,,,,,,,,,,22.527472527472508,,
1771296630373,,,,,,,,,,,0.0015568514354526997,
1771296630388,,,,,,,,,,,,0
1771296630409,0,,,,,,,,,,,
1771296630424,,106.2132797241211,,,,,,,,,,
1771296630438,,,,0,,,,,,,,
1771296630454,,,18.20512820512819,,,,,,,,,
1771296630470,,,,,106.20191192626953,,,,,,,
1771296630502,,,,,,17.948717948717935,,,,,,
1771296630523,,,,,,,0,,,,,
1771296630538,,,,,,,,-103.94818878173828,,,,
1771296630554,,,,,,,,,0,,,
1771296630569,,,,,,,,,,25.677655677655657,,
1771296630587,,,,,,,,,,,0.0015568514354526997,
1771296630603,,,,,,,,,,,,0
1771296630619,0,,,,,,,,,,,
1771296630637,,105.87785339355469,,,,,,,,,,
1771296630651,,,,0,,,,,,,,
1771296630668,,,17.912087912087898,,,,,,,,,
1771296630683,,,,,105.90388488769531,,,,,,,
1771296630699,,,,,,19.010989010988997,,,,,,
1771296630715,,,,,,,0,,,,,
1771296630729,,,,,,,,-102.85139465332031,,,,
1771296630745,,,,,,,,,0,,,
1771296630761,,,,,,,,,,24.68864468864467,,
1771296630776,,,,,,,,,,,0.0015568514354526997,
1771296630793,,,,,,,,,,,,0
1771296630809,0,,,,,,,,,,,
1771296630822,,105.9066162109375,,,,,,,,,,
1771296630840,,,,0,,,,,,,,
1771296630856,,,17.069597069597055,,,,,,,,,
1771296630871,,,,,105.90840148925781,,,,,,,
1771296630887,,,,,,17.2161172161172,,,,,,
1771296630901,,,,,,,0,,,,,
1771296630917,,,,,,,,-103.04875946044922,,,,
1771296630936,,,,,,,,,0,,,
1771296630953,,,,,,,,,,24.908424908424887,,
1771296630970,,,,,,,,,,,0.0015568514354526997,
1771296630987,,,,,,,,,,,,0
1771296631005,0,,,,,,,,,,,
1771296631023,,105.84471893310547,,,,,,,,,,
1771296631039,,,,0,,,,,,,,
1771296631053,,,17.912087912087898,,,,,,,,,
1771296631069,,,,,105.80170440673828,,,,,,,
1771296631084,,,,,,19.120879120879106,,,,,,
1771296631099,,,,,,,0,,,,,
1771296631115,,,,,,,,-103.3635025024414,,,,
1771296631130,,,,,,,,,0,,,
1771296631145,,,,,,,,,,27.399267399267377,,
1771296631161,,,,,,,,,,,0.0015568514354526997,
1771296631175,,,,,,,,,,,,0
1771296631193,0,,,,,,,,,,,
1771296631206,,105.17880249023438,,,,,,,,,,
1771296631238,,,,0,,,,,,,,
1771296631258,,,22.051282051282033,,,,,,,,,
1771296631274,,,,,106.13452911376953,,,,,,,
1771296631287,,,,,,17.948717948717935,,,,,,
1771296631304,,,,,,,0,,,,,
1771296631320,,,,,,,,-104.44400024414062,,,,
1771296631337,,,,,,,,,0,,,
1771296631354,,,,,,,,,,25.604395604395584,,
1771296631374,,,,,,,,,,,0.0015568514354526997,
1771296631392,,,,,,,,,,,,0
1771296631411,0,,,,,,,,,,,
1771296631433,,105.93894958496094,,,,,,,,,,
1771296631453,,,,0,,,,,,,,
1771296631470,,,17.948717948717935,,,,,,,,,
1771296631491,,,,,105.9179916381836,,,,,,,
1771296631512,,,,,,16.886446886446873,,,,,,
1771296631530,,,,,,,0,,,,,
1771296631551,,,,,,,,,0,,,
1771296631568,,,,,,,,-103.88697052001953,,,,
1771296631591,,,,,,,,,,,0.0015568514354526997,
1771296631610,,,,,,,,,,25.97069597069595,,
1771296631628,,,,,,,,,,,,0
1771296631646,0,,,,,,,,,,,
1771296631664,,105.81458282470703,,,,,,,,,,
1771296631685,,,,0,,,,,,,,
1771296631704,,,18.53479853479852,,,,,,,,,
1771296631725,,,,,105.7581558227539,,,,,,,
1771296631743,,,,,,21.245421245421227,,,,,,
1771296631763,,,,,,,0,,,,,
1771296631779,,,,,,,,-103.6700210571289,,,,
1771296631799,,,,,,,,,0,,,
1771296631818,,,,,,,,,,25.347985347985325,,
1771296631837,,,,,,,,,,,0.0015568514354526997,
1771296631856,,,,,,,,,,,,0
1771296631876,0,,,,,,,,,,,
1771296631893,,106.17985534667969,,,,,,,,,,
1771296631912,,,,0,,,,,,,,
1771296631933,,,18.7179487179487,,,,,,,,,
1771296631952,,,,,104.79215240478516,,,,,,,
1771296631971,,,,,,16.080586080586066,,,,,,
1771296631991,,,,,,,0,,,,,
1771296632011,,,,,,,,-103.93189239501953,,,,
1771296632031,,,,,,,,,0,,,
1771296632055,,,,,,,,,,25.164835164835143,,
1771296632074,,,,,,,,,,,0.0015568514354526997,
1771296632091,0,,,,,,,,,,,
1771296632112,,,,,,,,,,,,0
1771296632132,,105.88224029541016,,,,,,,,,,
1771296632153,,,,0,,,,,,,,
1771296632172,,,27.509157509157486,,,,,,,,,
1771296632194,,,,,105.1283950805664,,,,,,,
1771296632212,,,,,,,0,,,,,
1771296632230,,,,,,19.4139194139194,,,,,,
1771296632249,,,,,,,,-104.014892578125,,,,
1771296632272,,,,,,,,,,26.117216117216095,,
1771296632294,,,,,,,,,0,,,
1771296632331,,,,,,,,,,,0.0015568514354526997,
1771296632349,0,,,,,,,,,,,
1771296632368,,,,,,,,,,,,0
1771296632385,,104.60752868652344,,,,,,,,,,
1771296632401,,,,0,,,,,,,,
1771296632423,,,19.157509157509143,,,,,,,,,
1771296632442,,,,,104.60301208496094,,,,,,,
1771296632460,,,,,,,0,,,,,
1771296632476,,,,,,20.18315018315017,,,,,,
1771296632493,,,,,,,,-104.47604370117188,,,,
1771296632512,,,,,,,,,,22.637362637362617,,
1771296632533,,,,,,,,,0,,,
1771296632550,,,,,,,,,,,0.0015568514354526997,
1771296632572,0,,,,,,,,,,,
1771296632591,,,,,,,,,,,,0
1771296632609,,104.59260559082031,,,,,,,,,,
1771296632626,,,18.168498168498154,,,,,,,,,
1771296632647,,,,0,,,,,,,,
1771296632667,,,,,106.05645751953125,,,,,,,
1771296632683,,,,,,,0,,,,,
1771296632700,,,,,,19.120879120879106,,,,,,
1771296632718,,,,,,,,-104.49042510986328,,,,
1771296632735,,,,,,,,,,23.113553113553095,,
1771296632754,,,,,,,,,0,,,
1771296632774,,,,,,,,,,,0.0015568514354526997,
1771296632791,0,,,,,,,,,,,
1771296632808,,,,,,,,,,,,0
1771296632825,,104.89446258544922,,,,,,,,,,
1771296632841,,,17.179487179487165,,,,,,,,,
1771296632860,,,,0,,,,,,,,
1771296632880,,,,,105.60023498535156,,,,,,,
1771296632899,,,,,,,0,,,,,
1771296632918,,,,,,18.7179487179487,,,,,,
1771296632935,,,,,,,,-104.2347183227539,,,,
1771296632955,,,,,,,,,,21.57509157509156,,
1771296632971,,,,,,,,,0,,,
1771296632989,,,,,,,,,,,0.0015568514354526997,
1771296633024,0,,,,,,,,,,,
1771296633050,,,,,,,,,,,,0
1771296633069,,105.82074737548828,,,,,,,,,,
1771296633087,,,,0,,,,,,,,
1771296633105,,,20.293040293040278,,,,,,,,,
1771296633124,,,,,105.81595611572266,,,,,,,
1771296633143,,,,,,,0,,,,,
1771296633160,,,,,,17.98534798534797,,,,,,
1771296633176,,,,,,,,-104.45220947265625,,,,
1771296633192,,,,,,,,,,26.08058608058606,,
1771296633209,,,,,,,,,0,,,
1771296633227,,,,,,,,,,,0.0015568514354526997,
1771296633245,0,,,,,,,,,,,
1771296633261,,,,,,,,,,,,0
1771296633278,,104.94363403320312,,,,,,,,,,
1771296633295,,,18.754578754578738,,,,,,,,,
1771296633312,,,,0,,,,,,,,
1771296633329,,,,,105.12976837158203,,,,,,,
1771296633346,,,,,,,0,,,,,
1771296633365,,,,,,17.399267399267384,,,,,,
1771296633385,,,,,,,,-104.32305908203125,,,,
1771296633429,,,,,,,,,,26.776556776556756,,
1771296633448,,,,,,,,,0,,,
1771296633466,0,,,,,,,,,,,
1771296633485,,,,,,,,,,,0.0015568514354526997,
1771296633503,,105.69775390625,,,,,,,,,,
1771296633524,,,,,,,,,,,,0
1771296633542,,,,0,,,,,,,,
1771296633561,,,19.340659340659325,,,,,,,,,
1771296633579,,,,,105.11908721923828,,,,,,,
1771296633598,,,,,,,0,,,,,
1771296633618,,,,,,18.351648351648336,,,,,,
1771296633636,,,,,,,,-104.54000854492188,,,,
1771296633653,,,,,,,,,,23.663003663003643,,
1771296633671,,,,,,,,,0,,,
1771296633689,,,,,,,,,,,0.0015568514354526997,
1771296633709,0,,,,,,,,,,,
1771296633727,,,,,,,,,,,,0
1771296633746,,104.72915649414062,,,,,,,,,,
1771296633764,,,17.728937728937716,,,,,,,,,
1771296633784,,,,0,,,,,,,,
1771296633803,,,,,104.72135162353516,,,,,,,
1771296633822,,,,,,,0,,,,,
1771296633839,,,,,,15.457875457875446,,,,,,
1771296633857,,,,,,,,-103.47046661376953,,,,
1771296633878,,,,,,,,,,25.97069597069595,,
1771296633896,,,,,,,,,0,,,
1771296633914,,,,,,,,,,,0.0015568514354526997,
1771296633934,0,,,,,,,,,,,
1771296633955,,,,,,,,,,,,0
1771296633973,,105.06416320800781,,,,,,,,,,
1771296633992,,,22.234432234432216,,,,,,,,,
1771296634010,,,,0,,,,,,,,
1771296634028,,,,,105.80732727050781,,,,,,,
1771296634045,,,,,,,0,,,,,
1771296634063,,,,,,20.512820512820497,,,,,,
1771296634083,,,,,,,,-104.1902084350586,,,,
1771296634102,,,,,,,,,,24.68864468864467,,
1771296634122,,,,,,,,,0,,,
1771296634142,,,,,,,,,,,0.0015568514354526997,
1771296634162,0,,,,,,,,,,,
1771296634180,,,,,,,,,,,,0
1771296634200,,104.74366760253906,,,,,,,,,,
1771296634219,,,18.571428571428555,,,,,,,,,
1771296634239,,,,0,,,,,,,,
1771296634256,,,,,105.86155700683594,,,,,,,
1771296634276,,,,,,,0,,,,,
1771296634295,,,,,,18.937728937728924,,,,,,
1771296634312,,,,,,,,-103.97489929199219,,,,
1771296634331,,,,,,,,,,24.798534798534778,,
1771296634349,,,,,,,,,0,,,
1771296634366,,,,,,,,,,,0.0015568514354526997,
1771296634387,0,,,,,,,,,,,
1771296634407,,,,,,,,,,,,0
1771296634426,,105.28453826904297,,,,,,,,,,
1771296634447,,,23.58974358974357,,,,,,,,,
1771296634465,,,,0,,,,,,,,
1771296634499,,,,,105.58790588378906,,,,,,,
1771296634524,,,,,,,0,,,,,
1771296634554,,,,,,21.172161172161154,,,,,,
1771296634578,,,,,,,,-104.28553009033203,,,,
1771296634601,,,,,,,,,0,,,
1771296634621,,,,,,,,,,22.747252747252727,,
1771296634638,0,,,,,,,,,,,
1771296634658,,,,,,,,,,,0.0015568514354526997,
1771296634677,,105.7462387084961,,,,,,,,,,
1771296634695,,,,,,,,,,,,0
1771296634714,,,23.040293040293022,,,,,,,,,
1771296634734,,,,0,,,,,,,,
1771296634754,,,,,104.95089721679688,,,,,,,
1771296634774,,,,,,,0,,,,,
1771296634793,,,,,,16.776556776556763,,,,,,
1771296634812,,,,,,,,-104.93980407714844,,,,
1771296634833,,,,,,,,,,23.333333333333314,,
1771296634852,,,,,,,,,0,,,
1771296634870,,,,,,,,,,,0.0015568514354526997,
1771296634891,0,,,,,,,,,,,
1771296634916,,,,,,,,,,,,0
1771296634937,,105.87169647216797,,,,,,,,,,
1771296634958,,,,0,,,,,,,,
